dinosaurio,tokens
lancangosaurus,lan can go sauru s </W>
lancanjiangosaurus,lan can jiango sauru s </W>
lanzhousaurus,lan zho u sauru s </W>
laosaurus,la o sauru s </W>
lapampasaurus,la pampa sauru s </W>
laplatasaurus,la p lata sauru s </W>
lapparentosaurus,la p paren to sauru s </W>
laquintasaura,la qu in ta saura </W>
latenivenatrix,lateni venatri x </W>
latirhinus,lati r hin u s </W>
leaellynasaura,le ael ly na saura </W>
leinkupal,lein ku pal </W>
leipsanosaurus,lei p sano sauru s </W>
lengosaurus,len go sauru s </W>
leonerasaurus,leonera sauru s </W>
lepidocheirosaurus,lepi do chei ro sauru s </W>
lepidus,lepi d u s </W>
leptoceratops,lep to ceratop s </W>
leptorhynchos,lep tor hy n cho s </W>
leptospondylus,lep to spondy lu s </W>
leshansaurus,le shan sauru s </W>
lesothosaurus,le so tho sauru s </W>
lessemsaurus,le s se m sauru s </W>
levnesovia,le v ne so via </W>
lewisuchus,le w isu chu s </W>
lexovisaurus,le x o visauru s </W>
leyesaurus,le y e sauru s </W>
liaoceratops,lia o ceratop s </W>
liaoningosaurus,liaonin go sauru s </W>
liaoningtitan,liaonin g titan </W>
liaoningvenator,liaonin g venator </W>
liassaurus,lia s sauru s </W>
libycosaurus,li by co sauru s </W>
ligabueino,li gabu eino </W>
ligabuesaurus,li gabu e sauru s </W>
ligomasaurus,li go ma sauru s </W>
likhoelesaurus,li k ho ele sauru s </W>
liliensternus,lili en ster n u s </W>
limaysaurus,lima y sauru s </W>
limnornis,lim nornis </W>
limnosaurus,lim no sauru s </W>
limusaurus,limu sauru s </W>
linhenykus,lin hen y ku s </W>
linheraptor,lin hera p tor </W>
linhevenator,lin he venator </W>
lirainosaurus,li ra ino sauru s </W>
lisboasaurusliubangosaurus,lis bo a sauru s li u ban go sauru s </W>
lohuecotitan,lo hue co titan </W>
loncosaurus,lon co sauru s </W>
longisquama,longis qu ama </W>
longosaurus,longo sauru s </W>
lophorhothon,lophor ho thon </W>
lophostropheus,lopho stropheu s </W>
loricatosaurus,lori cato sauru s </W>
loricosaurus,lori co sauru s </W>
losillasaurus,lo sil la sauru s </W>
lourinhanosaurus,lo urin hano sauru s </W>
lourinhasaurus,lo urin ha sauru s </W>
luanchuanraptor,luan chuan ra p tor </W>
luanpingosaurus,luan pin go sauru s </W>
lucianosaurus,lu ciano sauru s </W>
lucianovenator,lu ciano venator </W>
lufengosaurus,lu fen go sauru s </W>
lukousaurus,lu ko u sauru s </W>
luoyanggia,lu o yang gia </W>
lurdusaurus,lur d u sauru s </W>
lusitanosaurus,lu si tano sauru s </W>
lusotitan,lu so titan </W>
lycorhinus,ly cor hin u s </W>
lythronax,ly th rona x </W>
macelognathus,ma celo gnathu s </W>
machairasaurus,ma cha i ra sauru s </W>
machairoceratops,ma cha i ro ceratop s </W>
macrodontophion,macro don tophi on </W>
macrogryphosaurus,macro g rypho sauru s </W>
macrophalangia,macrophalan gia </W>
macroscelosaurus,macro s celo sauru s </W>
macrurosaurus,ma c ruro sauru s </W>
madsenius,ma d seni u s </W>
magnapaulia,magna pau lia </W>
magnamanus,magnaman u s </W>
magnirostris,mag ni ro stris </W>
magnosaurus,mag no sauru s </W>
magulodon,magu lo don </W>
magyarosaurus,mag yaro sauru s </W>
mahakala,ma ha kala </W>
maiasaura,ma ia saura </W>
majungasaurus,ma jun ga sauru s </W>
majungatholus,ma jun gatho lu s </W>
malarguesaurus,malar gu e sauru s </W>
malawisaurus,mala w isauru s </W>
maleevosaurus,male e vo sauru s </W>
maleevus,male e vu s </W>
mamenchisaurus,mamen chisauru s </W>
manidens,mani den s </W>
mandschurosaurus,man d s churo sauru s </W>
manospondylus,mano spondy lu s </W>
mantellisaurus,mantel lisauru s </W>
mantellodon,mantel lo don </W>
mapusaurus,ma pu sauru s </W>
marasuchus,mara su chu s </W>
marisaurus,marisauru s </W>
marmarospondylus,mar maro spondy lu s </W>
marshosaurus,mar sho sauru s </W>
martharaptor,mar thara p tor </W>
masiakasaurus,ma sia ka sauru s </W>
massospondylus,ma s so spondy lu s </W>
matheronodon,matherono don </W>
maxakalisaurus,ma xa kalisauru s </W>
medusaceratops,med u sa ceratop s </W>
megacervixosaurus,mega cer vi x o sauru s </W>
megadactylus,mega da c ty lu s </W>
megadontosaurus,mega don to sauru s </W>
megalosaurus,megalo sauru s </W>
megapnosaurus,mega p no sauru s </W>
megaraptor,megara p tor </W>
mei,mei </W>
melanorosaurus,melanoro sauru s </W>
mendozasaurus,men do za sauru s </W>
mercuriceratops,mer curi ceratop s </W>
meroktenos,mero k teno s </W>
metriacanthosaurus,me tria can tho sauru s </W>
microcephale,micro cephale </W>
microceratops,micro ceratop s </W>
microceratus,micro cerat u s </W>
microcoelus,micro co elu s </W>
microdontosaurus,micro don to sauru s </W>
microhadrosaurus,micro hadro sauru s </W>
micropachycephalosaurus,micropachy ce phalo sauru s </W>
microraptor,microra p tor </W>
microvenator,micro venator </W>
mierasaurus,mi era sauru s </W>
mifunesaurus,mi fune sauru s </W>
minmi,min mi </W>
minotaurasaurus,mino taura sauru s </W>
miragaia,mi raga ia </W>
mirischia,mi ris chia </W>
moabosaurus,mo abo sauru s </W>
mochlodon,mo ch lo don </W>
mohammadisaurus,mo ham ma disauru s </W>
mojoceratops,mo j o ceratop s </W>
mongolosaurus,mongo lo sauru s </W>
monkonosaurus,mon kono sauru s </W>
monoclonius,mono c loni u s </W>
monolophosaurus,mono lopho sauru s </W>
mononychus,monon y chu s </W>
mononykus,monon y ku s </W>
montanoceratops,mon tano ceratop s </W>
morelladon,morel la don </W>
morinosaurus,morino sauru s </W>
morosaurus,moro sauru s </W>
morrosaurus,mor ro sauru s </W>
mosaiceratops,mo sa i ceratop s </W>
moshisaurus,mo shisauru s </W>
mtapaiasaurus,m ta pa ia sauru s </W>
mtotosaurus,m to to sauru s </W>
murusraptor,muru s ra p tor </W>
mussaurus,mu s sauru s </W>
muttaburrasaurus,mu t tabur ra sauru s </W>
muyelensaurus,mu y elen sauru s </W>
mymoorapelta,m y mo ora pelta </W>
naashoibitosaurus,na a sho i bi to sauru s </W>
nambalia,nam balia </W>
nankangia,nan kan gia </W>
nanningosaurus,nan nin go sauru s </W>
nanosaurus,nano sauru s </W>
nanotyrannus,nano tyran n u s </W>
nanshiungosaurus,nan shi un go sauru s </W>
nanuqsaurus,nan u q sauru s </W>
nanyangosaurus,nan yango sauru s </W>
narambuenatitan,naram bu enatitan </W>
nasutoceratops,na su to ceratop s </W>
natronasaurus,natrona sauru s </W>
nebulasaurus,ne bu la sauru s </W>
nectosaurus,ne c to sauru s </W>
nedcolbertia,ned co l ber tia </W>
nedoceratops,nedo ceratop s </W>
neimongosaurus,nei mongo sauru s </W>
nemegtia,nemeg tia </W>
nemegtomaia,nemeg to ma ia </W>
nemegtosaurus,nemeg to sauru s </W>
neosaurus,neo sauru s </W>
neosodon,neo so don </W>
neovenator,neo venator </W>
neuquenraptor,neu qu en ra p tor </W>
neuquensaurus,neu qu en sauru s </W>
newtonsaurus,ne w ton sauru s </W>
ngexisaurus,n ge xisauru s </W>
nicksaurus,ni c k sauru s </W>
nigersaurus,ni ger sauru s </W>
ningyuansaurus,nin g yuan sauru s </W>
niobrarasaurus,ni o brara sauru s </W>
nipponosaurus,ni p pono sauru s </W>
noasaurus,no a sauru s </W>
nodocephalosaurus,no do ce phalo sauru s </W>
nodosaurus,no do sauru s </W>
nomingia,no min gia </W>
nopcsaspondylus,nop c sa spondy lu s </W>
normanniasaurus,nor man nia sauru s </W>
nothronychus,no th ron y chu s </W>
notoceratops,no to ceratop s </W>
notocolossus,no to colos su s </W>
notohypsilophodon,no to hyp silopho don </W>
nqwebasaurus,n q w e ba sauru s </W>
nteregosaurus,n tere go sauru s </W>
nurosaurus,n uro sauru s </W>
nuthetes,n u the te s </W>
nyasasaurus,n ya sa sauru s </W>
nyororosaurus,n yororo sauru s </W>
ohmdenosaurus,o h m deno sauru s </W>
ojoceratops,o j o ceratop s </W>
ojoraptorsaurus,o j ora p tor sauru s </W>
oligosaurus,o li go sauru s </W>
olorotitan,o loro titan </W>
omeisaurus,o meisauru s </W>
omosaurus,o mo sauru s </W>
onychosaurus,on y cho sauru s </W>
oohkotokia,o o h ko to kia </W>
opisthocoelicaudia,opistho co eli cau dia </W>
oplosaurus,oplo sauru s </W>
orcomimus,or co mi mu s </W>
orinosaurusorkoraptor,orino sauru sor kora p tor </W>
ornatotholusornithodesmus,or nato tho lu sornitho de s mu s </W>
ornithoides,ornitho i de s </W>
ornitholestes,ornitho le ste s </W>
ornithomerus,ornitho meru s </W>
ornithomimoides,ornitho mi mo i de s </W>
ornithomimus,ornitho mi mu s </W>
ornithopsis,ornithop sis </W>
ornithosuchus,ornitho su chu s </W>
ornithotarsus,ornitho tar su s </W>
orodromeus,oro dro meu s </W>
orosaurus,oro sauru s </W>
orthogoniosaurus,or tho goni o sauru s </W>
orthomerus,or tho meru s </W>
oryctodromeus,or y c to dro meu s </W>
oshanosaurus,o shano sauru s </W>
osmakasaurus,o s ma ka sauru s </W>
ostafrikasaurus,o sta f ri ka sauru s </W>
ostromia,o stro mia </W>
othnielia,o th ni elia </W>
othnielosaurus,o th ni elo sauru s </W>
otogosaurus,o to go sauru s </W>
ouranosaurus,o urano sauru s </W>
overosaurus,o vero sauru s </W>
oviraptor,o vi ra p tor </W>
ovoraptor,o vora p tor </W>
owenodon,o w eno don </W>
oxalaia,o xala ia </W>
ozraptor,o z ra p tor </W>
pachycephalosaurus,pachy ce phalo sauru s </W>
pachyrhinosaurus,pachy r hino sauru s </W>
pachysauriscus,pachy sauris c u s </W>
pachysaurops,pachy saurop s </W>
pachysaurus,pachy sauru s </W>
pachyspondylus,pachy spondy lu s </W>
pachysuchus,pachy su chu s </W>
padillasaurus,pa dil la sauru s </W>
pakisaurus,pa kisauru s </W>
palaeoctonus,palaeo c ton u s </W>
palaeocursornis,palaeo cur sornis </W>
palaeolimnornis,palaeo lim nornis </W>
palaeopteryx,palaeop ter y x </W>
palaeosauriscus,palaeo sauris c u s </W>
palaeosaurus,palaeo sauru s </W>
palaeosaurus,palaeo sauru s </W>
palaeoscincus,palaeo s cin c u s </W>
paleosaurus,paleo sauru s </W>
paludititan,palu di titan </W>
paluxysaurus,palu x y sauru s </W>
pampadromaeus,pampa dro maeu s </W>
pamparaptor,pampara p tor </W>
panamericansaurus,panameri can sauru s </W>
pandoravenator,pan dora venator </W>
panguraptor,pan gura p tor </W>
panoplosaurus,panoplo sauru s </W>
panphagia,pan phagia </W>
pantydraco,pan ty draco </W>
paraiguanodon,para i guano don </W>
paralititan,parali titan </W>
paranthodon,paran tho don </W>
pararhabdodon,parar hab do don </W>
parasaurolophus,para sauro lophu s </W>
pareiasaurus,pareia sauru s </W>
parksosaurus,par k so sauru s </W>
paronychodon,paron y cho don </W>
parrosaurus,par ro sauru s </W>
parvicursor,par vi cur sor </W>
patagonykus,patagon y ku s </W>
patagosaurus,patago sauru s </W>
patagotitan,patago titan </W>
pawpawsaurus,pa w pa w sauru s </W>
pectinodon,pe c tino don </W>
pedopenna,pedopen na </W>
pegomastax,pe go ma sta x </W>
peishansaurus,peishan sauru s </W>
pekinosaurus,pe kino sauru s </W>
pelecanimimus,pele cani mi mu s </W>
pellegrinisaurus,pel le g rinisauru s </W>
peloroplites,pelorop li te s </W>
pelorosaurus,peloro sauru s </W>
peltosaurus,pel to sauru s </W>
penelopognathus,penelopo gnathu s </W>
pentaceratops,pen ta ceratop s </W>
petrobrasaurus,pe tro bra sauru s </W>
phaedrolosaurus,phaedro lo sauru s </W>
philovenator,philo venator </W>
phuwiangosaurus,phu w ian go sauru s </W>
phyllodon,phy l lo don </W>
piatnitzkysaurus,piat ni t z k y sauru s </W>
picrodon,pi cro don </W>
pinacosaurus,pina co sauru s </W>
pisanosaurus,pisano sauru s </W>
pitekunsaurus,pi te kun sauru s </W>
piveteausaurus,pi ve te au sauru s </W>
planicoxa,p lani co xa </W>
plateosauravus,p lateo saura vu s </W>
plateosaurus,p lateo sauru s </W>
platyceratops,p laty ceratop s </W>
plesiohadros,p le si o hadro s </W>
pleurocoelus,p leuro co elu s </W>
pleuropeltus,p leuropel t u s </W>
pneumatoarthrus,p neu mato ar th ru s </W>
pneumatoraptor,p neu matora p tor </W>
podokesaurus,po do ke sauru s </W>
poekilopleuron,po e kilop leuron </W>
polacanthoides,po la can tho i de s </W>
polacanthus,po la can thu s </W>
polyodontosaurus,po lyo don to sauru s </W>
polyonax,po lyona x </W>
ponerosteus,ponero steu s </W>
poposaurus,popo sauru s </W>
parasaurolophus,para sauro lophu s </W>
postosuchus,po sto su chu s </W>
powellvenator,po w el l venator </W>
pradhania,p ra d hania </W>
prenocephale,p reno cephale </W>
prenoceratops,p reno ceratop s </W>
priconodon,p ri cono don </W>
priodontognathus,p rio don to gnathu s </W>
proa,pro a </W>
probactrosaurus,pro ba c tro sauru s </W>
probrachylophosaurus,pro brachy lopho sauru s </W>
proceratops,pro ceratop s </W>
proceratosaurus,pro cerato sauru s </W>
procerosaurus,pro cero sauru s </W>
procerosaurus,pro cero sauru s </W>
procheneosaurus,pro cheneo sauru s </W>
procompsognathus,pro compso gnathu s </W>
prodeinodon,pro deino don </W>
proiguanodon,pro i guano don </W>
propanoplosaurus,propanoplo sauru s </W>
proplanicoxa,prop lani co xa </W>
prosaurolophus,pro sauro lophu s </W>
protarchaeopteryx,pro tarchaeop ter y x </W>
protecovasaurus,pro te co va sauru s </W>
protiguanodon,pro ti guano don </W>
protoavis,proto a vis </W>
protoceratops,proto ceratop s </W>
protognathosaurus,proto gnatho sauru s </W>
protognathus,proto gnathu s </W>
protohadros,proto hadro s </W>
protorosaurus,protoro sauru s </W>
protorosaurus,protoro sauru s </W>
protrachodon,pro tra cho don </W>
proyandusaurus,pro yan d u sauru s </W>
pseudolagosuchus,p seu do lago su chu s </W>
psittacosaurus,p si t ta co sauru s </W>
pteropelyx,p teropely x </W>
pterospondylus,p tero spondy lu s </W>
puertasaurus,pu er ta sauru s </W>
pukyongosaurus,pu k yongo sauru s </W>
pulanesaura,pu lane saura </W>
pycnonemosaurus,py c none mo sauru s </W>
pyroraptor,py rora p tor </W>
qantassaurus,q an ta s sauru s </W>
qianzhousaurus,q ian zho u sauru s </W>
qiaowanlong,q ia o wan long </W>
qijianglong,q i jiang long </W>
qinlingosaurus,q in lin go sauru s </W>
qingxiusaurus,q in g xi u sauru s </W>
qiupalong,q i u palong </W>
quaesitosaurus,qu ae si to sauru s </W>
quetecsaurus,qu e te c sauru s </W>
quilmesaurus,qu il me sauru s </W>
rachitrema,ra chi t re ma </W>
rahiolisaurus,ra hi o lisauru s </W>
rahona,ra hona </W>
rahonavis,ra hona vis </W>
rajasaurus,ra ja sauru s </W>
rapator,ra pator </W>
rapetosaurus,ra pe to sauru s </W>
raptorex,ra p tore x </W>
ratchasimasaurus,rat cha si ma sauru s </W>
rativates,rati vate s </W>
rayososaurus,ra yo so sauru s </W>
razanandrongobe,ra zanan drongo be </W>
rebbachisaurus,re b ba chisauru s </W>
regaliceratops,re gali ceratop s </W>
regnosaurus,re g no sauru s </W>
revueltosaurus,re vu el to sauru s </W>
rhabdodon,r hab do don </W>
rhadinosaurus,r ha dino sauru s </W>
rhinorex,r hinore x </W>
rhodanosaurus,r ho dano sauru s </W>
rhoetosaurus,r ho e to sauru s </W>
rhopalodon,r hopalo don </W>
riabininohadros,riabinino hadro s </W>
richardoestesia,ri char do e ste sia </W>
rileya,rile ya </W>
rileyasuchus,rile ya su chu s </W>
rinchenia,rin chenia </W>
rinconsaurus,rin con sauru s </W>
rioarribasaurus,rio ar ri ba sauru s </W>
riodevasaurus,rio de va sauru s </W>
riojasaurus,rio ja sauru s </W>
riojasuchus,rio ja su chu s </W>
rocasaurus,ro ca sauru s </W>
roccosaurus,ro c co sauru s </W>
rubeosaurus,ru beo sauru s </W>
ruehleia,ru e h leia </W>
rugocaudia,rugo cau dia </W>
rugops,rugop s </W>
rukwatitan,ru k watitan </W>
ruyangosaurus,ru yango sauru s </W>
sacisaurus,sa cisauru s </W>
sahaliyania,sa hali yania </W>
saichania,sa i chania </W>
saldamosaurus,sal damo sauru s </W>
salimosaurus,salimo sauru s </W>
saltasaurus,sal ta sauru s </W>
saltopus,sal topu s </W>
saltriosaurus,sal trio sauru s </W>
sanchusaurus,san chu sauru s </W>
sangonghesaurus,san gong he sauru s </W>
sanjuansaurus,san juan sauru s </W>
sanpasaurus,san pa sauru s </W>
santanaraptor,san tanara p tor </W>
saraikimasoom,sara i ki ma so o m </W>
sarahsaurus,sara h sauru s </W>
sarcolestes,sar co le ste s </W>
sarcosaurus,sar co sauru s </W>
sarmientosaurus,sar mi en to sauru s </W>
saturnalia,sat ur nalia </W>
sauraechinodon,saurae chino don </W>
saurolophus,sauro lophu s </W>
sauroniops,sauroni op s </W>
sauropelta,sauropelta </W>
saurophaganax,saurophagana x </W>
saurophagus,saurophagu s </W>
sauroplites,saurop li te s </W>
sauroposeidon,sauropo sei don </W>
saurornithoides,saurornitho i de s </W>
saurornitholestes,saurornitho le ste s </W>
savannasaurus,sa van na sauru s </W>
scansoriopteryx,s can soriop ter y x </W>
scaphonyx,s ca phon y x </W>
scelidosaurus,s celi do sauru s </W>
scipionyx,s ci pi on y x </W>
sciurumimus,s ci uru mi mu s </W>
scleromochlus,s c lero mo ch lu s </W>
scolosaurus,s colosauru s </W>
scutellosaurus,s c u tel lo sauru s </W>
secernosaurus,se cer no sauru s </W>
sefapanosaurus,se f a pano sauru s </W>
segisaurus,se gisauru s </W>
segnosaurus,se g no sauru s </W>
seismosaurus,seis mo sauru s </W>
seitaad,sei ta a d </W>
selimanosaurus,selimano sauru s </W>
sellacoxa,sel la co xa </W>
sellosaurus,sel lo sauru s </W>
serendipaceratops,seren di pa ceratop s </W>
serikornis,seri kornis </W>
shamosaurus,shamo sauru s </W>
shanag,shanag </W>
shanshanosaurus,shan shano sauru s </W>
shantungosaurus,shan t un go sauru s </W>
shanxia,shan xia </W>
shanyangosaurus,shan yango sauru s </W>
shaochilong,sha o chilong </W>
shenzhousaurus,shen zho u sauru s </W>
shidaisaurus,shi da isauru s </W>
shingopana,shin gopana </W>
shixinggia,shi xing gia </W>
shuangbaisaurus,shuan g ba isauru s </W>
shuangmiaosaurus,shuan g mia o sauru s </W>
shunosaurus,shuno sauru s </W>
shuvosaurus,shu vo sauru s </W>
shuvuuia,shu vu u ia </W>
siamodon,siamo don </W>
siamodracon,siamo dracon </W>
siamosaurus,siamo sauru s </W>
siamotyrannus,siamo tyran n u s </W>
siats,siat s </W>
sibirosaurus,si bi ro sauru s </W>
sibirotitan,si bi ro titan </W>
sidormimus,si dor mi mu s </W>
sigilmassasaurus,si gil ma s sa sauru s </W>
silesaurus,sile sauru s </W>
siluosaurus,silu o sauru s </W>
silvisaurus,sil visauru s </W>
similicaudipteryx,si mili cau di p ter y x </W>
sinocalliopteryx,sino cal li op ter y x </W>
sinoceratops,sino ceratop s </W>
sinocoelurus,sino co eluru s </W>
sinopelta,sinopelta </W>
sinopeltosaurus,sinopel to sauru s </W>
sinornithoides,sinornitho i de s </W>
sinornithomimus,sinornitho mi mu s </W>
sinornithosaurus,sinornitho sauru s </W>
sinosauropteryx,sino saurop ter y x </W>
sinosaurus,sino sauru s </W>
sinotyrannus,sino tyran n u s </W>
sinovenator,sino venator </W>
sinraptor,sin ra p tor </W>
sinusonasus,sin u sona su s </W>
sirindhorna,si rin d hor na </W>
skorpiovenator,s kor pi o venator </W>
smilodon,s milo don </W>
sonidosaurus,soni do sauru s </W>
sonorasaurus,sonora sauru s </W>
soriatitan,soriatitan </W>
sphaerotholus,sphaero tho lu s </W>
sphenosaurus,spheno sauru s </W>
sphenospondylus,spheno spondy lu s </W>
spiclypeus,spi c lypeu s </W>
spinophorosaurus,spinophoro sauru s </W>
spinops,spinop s </W>
spinosaurus,spino sauru s </W>
spinostropheus,spino stropheu s </W>
spinosuchus,spino su chu s </W>
spondylosoma,spondy lo so ma </W>
squalodon,s qu alo don </W>
staurikosaurus,stauri ko sauru s </W>
stegoceras,stego cera s </W>
stegopelta,stegopelta </W>
stegosaurides,stego sauri de s </W>
stegosaurus,stego sauru s </W>
stenonychosaurus,stenon y cho sauru s </W>
stenopelix,stenopeli x </W>
stenotholus,steno tho lu s </W>
stephanosaurus,ste phano sauru s </W>
stereocephalus,stereo ce phalu s </W>
sterrholophus,ster r ho lophu s </W>
stokesosaurus,sto ke so sauru s </W>
stormbergia,stor m ber gia </W>
strenusaurus,st ren u sauru s </W>
streptospondylus,st re p to spondy lu s </W>
struthiomimus,st ru thi o mi mu s </W>
struthiosaurus,st ru thi o sauru s </W>
stygimoloch,sty gi mo lo ch </W>
stygivenator,sty gi venator </W>
styracosaurus,sty ra co sauru s </W>
succinodon,su c cino don </W>
suchomimus,su cho mi mu s </W>
suchosaurus,su cho sauru s </W>
suchoprion,su chop rion </W>
sugiyamasaurus,sugi yama sauru s </W>
skeleton,s kele ton </W>
sulaimanisaurus,su la i manisauru s </W>
supersaurus,su per sauru s </W>
suuwassea,su u wa s se a </W>
suzhousaurus,su zho u sauru s </W>
symphyrophus,sy mphy rophu s </W>
syngonosaurus,sy n gono sauru s </W>
syntarsus,sy n tar su s </W>
syrmosaurus,sy r mo sauru s </W>
szechuanosaurus,sz e chuano sauru s </W>
tachiraptor,ta chi ra p tor </W>
talarurus,talaruru s </W>
talenkauen,talen kau en </W>
talos,talo s </W>
tambatitanis,tam batitanis </W>
tangvayosaurus,tan g va yo sauru s </W>
tanius,tani u s </W>
tanycolagreus,tan y co lag reu s </W>
tanystropheus,tan y stropheu s </W>
tanystrosuchus,tan y stro su chu s </W>
taohelong,ta o helong </W>
tapinocephalus,ta pino ce phalu s </W>
tapuiasaurus,ta pu ia sauru s </W>
tarascosaurus,tara s co sauru s </W>
tarbosaurus,tar bo sauru s </W>
tarchia,tar chia </W>
tastavinsaurus,ta sta vin sauru s </W>
tatankacephalus,tatan ka ce phalu s </W>
tatankaceratops,tatan ka ceratop s </W>
tataouinea,tata o u ine a </W>
tatisaurus,tatisauru s </W>
taurovenator,tauro venator </W>
taveirosaurus,ta vei ro sauru s </W>
tawa,ta wa </W>
tawasaurus,ta wa sauru s </W>
tazoudasaurus,ta z o u da sauru s </W>
technosaurus,te ch no sauru s </W>
tecovasaurus,te co va sauru s </W>
tehuelchesaurus,te huel che sauru s </W>
teihivenator,tei hi venator </W>
teinurosaurus,tein uro sauru s </W>
teleocrater,teleo c rater </W>
telmatosaurus,tel mato sauru s </W>
tenantosaurus,tenan to sauru s </W>
tenchisaurus,ten chisauru s </W>
tendaguria,ten daguria </W>
tengrisaurus,ten g risauru s </W>
tenontosaurus,tenon to sauru s </W>
teratophoneus,teratophoneu s </W>
teratosaurus,terato sauru s </W>
termatosaurus,ter mato sauru s </W>
tethyshadros,te thy shadro s </W>
tetragonosaurus,te tragono sauru s </W>
texacephale,te xa cephale </W>
texasetes,te xa se te s </W>
teyuwasu,te yu wa su </W>
thecocoelurus,the co co eluru s </W>
thecodontosaurus,the co don to sauru s </W>
thecospondylus,the co spondy lu s </W>
theiophytalia,thei ophy talia </W>
therizinosaurus,theri z ino sauru s </W>
therosaurus,thero sauru s </W>
thescelosaurus,the s celo sauru s </W>
thespesius,the spe si u s </W>
thotobolosaurus,tho to bo lo sauru s </W>
tianchisaurus,tian chisauru s </W>
tianchungosaurus,tian chun go sauru s </W>
tianyulong,tian yu long </W>
tianyuraptor,tian yura p tor </W>
tianzhenosaurus,tian z heno sauru s </W>
tichosteus,ti cho steu s </W>
tienshanosaurus,ti en shano sauru s </W>
timimus,ti mi mu s </W>
timurlengia,ti mur len gia </W>
titanoceratops,titano ceratop s </W>
titanosaurus,titano sauru s </W>
titanosaurus,titano sauru s </W>
tochisaurus,to chisauru s </W>
tomodon,to mo don </W>
tonganosaurus,tongano sauru s </W>
tongtianlong,tong tian long </W>
tonouchisaurus,tono u chisauru s </W>
torilion,torili on </W>
tornieria,torni eria </W>
torosaurus,toro sauru s </W>
torvosaurus,tor vo sauru s </W>
tototlmimus,to to t l mi mu s </W>
trachodon,tra cho don </W>
traukutitan,trau ku titan </W>
trialestes,triale ste s </W>
triassolestes,tria s so le ste s </W>
tribelesodon,tri bele so don </W>
triceratops,tri ceratop s </W>
trigonosaurus,tri gono sauru s </W>
trimucrodon,tri mu cro don </W>
trinisaura,trinisaura </W>
triunfosaurus,tri un f o sauru s </W>
troodon,tro o don </W>
tsaagan,t sa agan </W>
tsagantegia,t sagan te gia </W>
tsintaosaurus,t sin ta o sauru s </W>
tugulusaurus,t ugu lu sauru s </W>
tuojiangosaurus,t u o jiango sauru s </W>
turanoceratops,t urano ceratop s </W>
turiasaurus,t uria sauru s </W>
tylocephale,ty lo cephale </W>
tylosteus,ty lo steu s </W>
tyrannosaurus,tyran no sauru s </W>
tyrannotitan,tyran no titan </W>
illustration,il lu strati on </W>
uberabatitan,u berabatitan </W>
udanoceratops,u dano ceratop s </W>
ugrosaurus,ug ro sauru s </W>
ugrunaaluk,ug runa alu k </W>
uintasaurus,u in ta sauru s </W>
ultrasauros,u l tra sauro s </W>
ultrasaurus,u l tra sauru s </W>
ultrasaurus,u l tra sauru s </W>
umarsaurus,u mar sauru s </W>
unaysaurus,una y sauru s </W>
unenlagia,unen lagia </W>
unescoceratops,une s co ceratop s </W>
unicerosaurus,uni cero sauru s </W>
unquillosaurus,un qu il lo sauru s </W>
urbacodon,ur ba co don </W>
utahceratops,uta h ceratop s </W>
utahraptor,uta h ra p tor </W>
uteodon,u teo don </W>
vagaceratops,vaga ceratop s </W>
vahiny,va hin y </W>
valdoraptor,val dora p tor </W>
valdosaurus,val do sauru s </W>
variraptor,vari ra p tor </W>
velociraptor,velo ci ra p tor </W>
vectensia,ve c ten sia </W>
vectisaurus,ve c tisauru s </W>
velafrons,vela f ron s </W>
velocipes,velo ci pe s </W>
velociraptor,velo ci ra p tor </W>
velocisaurus,velo cisauru s </W>
venaticosuchus,venati co su chu s </W>
venenosaurus,veneno sauru s </W>
veterupristisaurus,ve teru p ristisauru s </W>
viavenator,via venator </W>
vitakridrinda,vi ta kri d rin da </W>
vitakrisaurus,vi ta krisauru s </W>
volkheimeria,vo l k hei meria </W>
vouivria,vo u i v ria </W>
vulcanodon,vu l cano don </W>
wadhurstia,wa d hur stia </W>
wakinosaurus,wa kino sauru s </W>
walgettosuchus,wal ge t to su chu s </W>
walkeria,wal keria </W>
walkersaurus,wal ker sauru s </W>
wangonisaurus,wan gonisauru s </W>
wannanosaurus,wan nano sauru s </W>
wellnhoferia,w el l n ho feria </W>
wendiceratops,w en di ceratop s </W>
wiehenvenator,w i e hen venator </W>
willinakaqe,w il lina ka q e </W>
wintonotitan,w in tono titan </W>
wuerhosaurus,wu er ho sauru s </W>
wulagasaurus,wu laga sauru s </W>
wulatelong,wu latelong </W>
wyleyia,w y le yia </W>
wyomingraptor,w yo min gra p tor </W>
xenoceratops,x eno ceratop s </W>
xenoposeidon,x enopo sei don </W>
xenotarsosaurus,x eno tar so sauru s </W>
xianshanosaurus,xian shano sauru s </W>
xiaosaurus,xia o sauru s </W>
xingxiulong,xing xi u long </W>
xinjiangovenator,xin jiango venator </W>
xinjiangtitan,xin jiang titan </W>
xiongguanlong,xi ong guan long </W>
xixianykus,xi xian y ku s </W>
xixiasaurus,xi xia sauru s </W>
xixiposaurus,xi xi po sauru s </W>
xuanhanosaurus,x uan hano sauru s </W>
xuanhuaceratops,x uan hua ceratop s </W>
xuanhuasaurus,x uan hua sauru s </W>
xuwulong,x u wu long </W>
yaleosaurus,yaleo sauru s </W>
yamaceratops,yama ceratop s </W>
yandusaurus,yan d u sauru s </W>
