dinosaurio,tokens
jiangjunmiaosaurus,jiang jun mia o sauru s </EOW>
jiangjunosaurus,jiang juno sauru s </EOW>
jiangshanosaurus,jiang shano sauru s </EOW>
jiangxisaurus,jiang xisauru s </EOW>
jianianhualong,jianian hualong </EOW>
jinfengopteryx,jin fen gop ter y x </EOW>
jingshanosaurus,jin g shano sauru s </EOW>
jintasaurus,jin ta sauru s </EOW>
jinzhousaurus,jin zho u sauru s </EOW>
jiutaisaurus,ji uta isauru s </EOW>
jobaria,j o baria </EOW>
jubbulpuria,ju b bu l puria </EOW>
judiceratops,ju di ceratop s </EOW>
jurapteryx,jura p ter y x </EOW>
jurassosaurus,jura s so sauru s </EOW>
juratyrant,juratyran t </EOW>
juravenator,jura venator </EOW>
kagasaurus,kaga sauru s </EOW>
kaijiangosaurus,ka i jiango sauru s </EOW>
kakuru,ka kuru </EOW>
kangnasaurus,kan gna sauru s </EOW>
karongasaurus,karonga sauru s </EOW>
katepensaurus,kate pen sauru s </EOW>
katsuyamasaurus,kat su yama sauru s </EOW>
kayentavenator,ka y en ta venator </EOW>
kazaklambia,ka za k lam bia </EOW>
kelmayisaurus,kel ma yisauru s </EOW>
kemkemiakentrosaurus,ke m ke mia ken tro sauru s </EOW>
kentrurosaurus,ken t ruro sauru s </EOW>
kerberosaurus,ker bero sauru s </EOW>
kentrosaurus,ken tro sauru s </EOW>
khaan,k ha an </EOW>
khetranisaurus,k he tranisauru s </EOW>
kileskus,kile s ku s </EOW>
kinnareemimus,kin nare e mi mu s </EOW>
kitadanisaurus,ki ta danisauru s </EOW>
kittysaurus,ki t ty sauru s </EOW>
klamelisauruskol,k lamelisauru s ko l </EOW>
koparion,koparion </EOW>
koreaceratops,kore a ceratop s </EOW>
koreanosaurus,kore ano sauru s </EOW>
koreanosaurus,kore ano sauru s </EOW>
koshisaurus,ko shisauru s </EOW>
kosmoceratops,ko s mo ceratop s </EOW>
kotasaurus,ko ta sauru s </EOW>
koutalisaurus,ko utalisauru s </EOW>
kritosaurus,kri to sauru s </EOW>
kryptops,k ryp top s </EOW>
krzyzanowskisaurus,k r z y zano w s kisauru s </EOW>
kukufeldia,ku ku f el dia </EOW>
kulceratops,ku l ceratop s </EOW>
kulindadromeus,ku lin da dro meu s </EOW>
kulindapteryx,ku lin da p ter y x </EOW>
kunbarrasaurus,kun bar ra sauru s </EOW>
kundurosaurus,kun d uro sauru s </EOW>
kunmingosaurus,kun min go sauru s </EOW>
kuszholia,ku szho lia </EOW>
labocania,labo cania </EOW>
labrosaurus,lab ro sauru s </EOW>
laelaps,laela p s </EOW>
laevisuchus,lae visu chu s </EOW>
lagerpeton,lager pe ton </EOW>
lagosuchus,lago su chu s </EOW>
laiyangosaurus,la i yango sauru s </EOW>
lamaceratops,lama ceratop s </EOW>
lambeosaurus,lam beo sauru s </EOW>
lametasaurus,lame ta sauru s </EOW>
lamplughsaura,lamp lug h saura </EOW>
lanasaurus,lana sauru s </EOW>
lancangosaurus,lan can go sauru s </EOW>
lancanjiangosaurus,lan can jiango sauru s </EOW>
lanzhousaurus,lan zho u sauru s </EOW>
laosaurus,la o sauru s </EOW>
lapampasaurus,la pampa sauru s </EOW>
laplatasaurus,la p lata sauru s </EOW>
lapparentosaurus,la p paren to sauru s </EOW>
laquintasaura,la qu in ta saura </EOW>
latenivenatrix,lateni venatri x </EOW>
latirhinus,lati r hin u s </EOW>
leaellynasaura,le ael ly na saura </EOW>
leinkupal,lein ku pal </EOW>
leipsanosaurus,lei p sano sauru s </EOW>
lengosaurus,len go sauru s </EOW>
leonerasaurus,leonera sauru s </EOW>
lepidocheirosaurus,lepi do chei ro sauru s </EOW>
lepidus,lepi d u s </EOW>
leptoceratops,lep to ceratop s </EOW>
leptorhynchos,lep tor hy n cho s </EOW>
leptospondylus,lep to spondy lu s </EOW>
leshansaurus,le shan sauru s </EOW>
lesothosaurus,le so tho sauru s </EOW>
lessemsaurus,le s se m sauru s </EOW>
levnesovia,le v ne so via </EOW>
lewisuchus,le w isu chu s </EOW>
lexovisaurus,le x o visauru s </EOW>
leyesaurus,le y e sauru s </EOW>
liaoceratops,lia o ceratop s </EOW>
liaoningosaurus,liaonin go sauru s </EOW>
liaoningtitan,liaonin g titan </EOW>
liaoningvenator,liaonin g venator </EOW>
liassaurus,lia s sauru s </EOW>
libycosaurus,li by co sauru s </EOW>
ligabueino,li gabu eino </EOW>
ligabuesaurus,li gabu e sauru s </EOW>
ligomasaurus,li go ma sauru s </EOW>
likhoelesaurus,li k ho ele sauru s </EOW>
liliensternus,lili en ster n u s </EOW>
limaysaurus,lima y sauru s </EOW>
limnornis,lim nornis </EOW>
limnosaurus,lim no sauru s </EOW>
limusaurus,limu sauru s </EOW>
linhenykus,lin hen y ku s </EOW>
linheraptor,lin hera p tor </EOW>
linhevenator,lin he venator </EOW>
lirainosaurus,li ra ino sauru s </EOW>
lisboasaurusliubangosaurus,lis bo a sauru s li u ban go sauru s </EOW>
lohuecotitan,lo hue co titan </EOW>
loncosaurus,lon co sauru s </EOW>
longisquama,longis qu ama </EOW>
longosaurus,longo sauru s </EOW>
lophorhothon,lophor ho thon </EOW>
lophostropheus,lopho stropheu s </EOW>
loricatosaurus,lori cato sauru s </EOW>
loricosaurus,lori co sauru s </EOW>
losillasaurus,lo sil la sauru s </EOW>
lourinhanosaurus,lo urin hano sauru s </EOW>
lourinhasaurus,lo urin ha sauru s </EOW>
luanchuanraptor,luan chuan ra p tor </EOW>
luanpingosaurus,luan pin go sauru s </EOW>
lucianosaurus,lu ciano sauru s </EOW>
lucianovenator,lu ciano venator </EOW>
lufengosaurus,lu fen go sauru s </EOW>
lukousaurus,lu ko u sauru s </EOW>
luoyanggia,lu o yang gia </EOW>
lurdusaurus,lur d u sauru s </EOW>
lusitanosaurus,lu si tano sauru s </EOW>
lusotitan,lu so titan </EOW>
lycorhinus,ly cor hin u s </EOW>
lythronax,ly th rona x </EOW>
macelognathus,ma celo gnathu s </EOW>
machairasaurus,ma cha i ra sauru s </EOW>
machairoceratops,ma cha i ro ceratop s </EOW>
macrodontophion,macro don tophi on </EOW>
macrogryphosaurus,macro g rypho sauru s </EOW>
macrophalangia,macrophalan gia </EOW>
macroscelosaurus,macro s celo sauru s </EOW>
macrurosaurus,ma c ruro sauru s </EOW>
madsenius,ma d seni u s </EOW>
magnapaulia,magna pau lia </EOW>
magnamanus,magnaman u s </EOW>
magnirostris,mag ni ro stris </EOW>
magnosaurus,mag no sauru s </EOW>
magulodon,magu lo don </EOW>
magyarosaurus,mag yaro sauru s </EOW>
mahakala,ma ha kala </EOW>
maiasaura,ma ia saura </EOW>
majungasaurus,ma jun ga sauru s </EOW>
majungatholus,ma jun gatho lu s </EOW>
malarguesaurus,malar gu e sauru s </EOW>
malawisaurus,mala w isauru s </EOW>
maleevosaurus,male e vo sauru s </EOW>
maleevus,male e vu s </EOW>
mamenchisaurus,mamen chisauru s </EOW>
manidens,mani den s </EOW>
mandschurosaurus,man d s churo sauru s </EOW>
manospondylus,mano spondy lu s </EOW>
mantellisaurus,mantel lisauru s </EOW>
mantellodon,mantel lo don </EOW>
mapusaurus,ma pu sauru s </EOW>
marasuchus,mara su chu s </EOW>
marisaurus,marisauru s </EOW>
marmarospondylus,mar maro spondy lu s </EOW>
marshosaurus,mar sho sauru s </EOW>
martharaptor,mar thara p tor </EOW>
masiakasaurus,ma sia ka sauru s </EOW>
massospondylus,ma s so spondy lu s </EOW>
matheronodon,matherono don </EOW>
maxakalisaurus,ma xa kalisauru s </EOW>
medusaceratops,med u sa ceratop s </EOW>
megacervixosaurus,mega cer vi x o sauru s </EOW>
megadactylus,mega da c ty lu s </EOW>
megadontosaurus,mega don to sauru s </EOW>
megalosaurus,megalo sauru s </EOW>
megapnosaurus,mega p no sauru s </EOW>
megaraptor,megara p tor </EOW>
mei,mei </EOW>
melanorosaurus,melanoro sauru s </EOW>
mendozasaurus,men do za sauru s </EOW>
mercuriceratops,mer curi ceratop s </EOW>
meroktenos,mero k teno s </EOW>
metriacanthosaurus,me tria can tho sauru s </EOW>
microcephale,micro cephale </EOW>
microceratops,micro ceratop s </EOW>
microceratus,micro cerat u s </EOW>
microcoelus,micro co elu s </EOW>
microdontosaurus,micro don to sauru s </EOW>
microhadrosaurus,micro hadro sauru s </EOW>
micropachycephalosaurus,micropachy ce phalo sauru s </EOW>
microraptor,microra p tor </EOW>
microvenator,micro venator </EOW>
mierasaurus,mi era sauru s </EOW>
mifunesaurus,mi fune sauru s </EOW>
minmi,min mi </EOW>
minotaurasaurus,mino taura sauru s </EOW>
miragaia,mi raga ia </EOW>
mirischia,mi ris chia </EOW>
moabosaurus,mo abo sauru s </EOW>
mochlodon,mo ch lo don </EOW>
mohammadisaurus,mo ham ma disauru s </EOW>
mojoceratops,mo j o ceratop s </EOW>
mongolosaurus,mongo lo sauru s </EOW>
monkonosaurus,mon kono sauru s </EOW>
monoclonius,mono c loni u s </EOW>
monolophosaurus,mono lopho sauru s </EOW>
mononychus,monon y chu s </EOW>
mononykus,monon y ku s </EOW>
montanoceratops,mon tano ceratop s </EOW>
morelladon,morel la don </EOW>
morinosaurus,morino sauru s </EOW>
morosaurus,moro sauru s </EOW>
morrosaurus,mor ro sauru s </EOW>
mosaiceratops,mo sa i ceratop s </EOW>
moshisaurus,mo shisauru s </EOW>
mtapaiasaurus,m ta pa ia sauru s </EOW>
mtotosaurus,m to to sauru s </EOW>
murusraptor,muru s ra p tor </EOW>
mussaurus,mu s sauru s </EOW>
muttaburrasaurus,mu t tabur ra sauru s </EOW>
muyelensaurus,mu y elen sauru s </EOW>
mymoorapelta,m y mo ora pelta </EOW>
naashoibitosaurus,na a sho i bi to sauru s </EOW>
nambalia,nam balia </EOW>
nankangia,nan kan gia </EOW>
nanningosaurus,nan nin go sauru s </EOW>
nanosaurus,nano sauru s </EOW>
nanotyrannus,nano tyran n u s </EOW>
nanshiungosaurus,nan shi un go sauru s </EOW>
nanuqsaurus,nan u q sauru s </EOW>
nanyangosaurus,nan yango sauru s </EOW>
narambuenatitan,naram bu enatitan </EOW>
nasutoceratops,na su to ceratop s </EOW>
natronasaurus,natrona sauru s </EOW>
nebulasaurus,ne bu la sauru s </EOW>
nectosaurus,ne c to sauru s </EOW>
nedcolbertia,ned co l ber tia </EOW>
nedoceratops,nedo ceratop s </EOW>
neimongosaurus,nei mongo sauru s </EOW>
nemegtia,nemeg tia </EOW>
nemegtomaia,nemeg to ma ia </EOW>
nemegtosaurus,nemeg to sauru s </EOW>
neosaurus,neo sauru s </EOW>
neosodon,neo so don </EOW>
neovenator,neo venator </EOW>
neuquenraptor,neu qu en ra p tor </EOW>
neuquensaurus,neu qu en sauru s </EOW>
newtonsaurus,ne w ton sauru s </EOW>
ngexisaurus,n ge xisauru s </EOW>
nicksaurus,ni c k sauru s </EOW>
nigersaurus,ni ger sauru s </EOW>
ningyuansaurus,nin g yuan sauru s </EOW>
niobrarasaurus,ni o brara sauru s </EOW>
nipponosaurus,ni p pono sauru s </EOW>
noasaurus,no a sauru s </EOW>
nodocephalosaurus,no do ce phalo sauru s </EOW>
nodosaurus,no do sauru s </EOW>
nomingia,no min gia </EOW>
nopcsaspondylus,nop c sa spondy lu s </EOW>
normanniasaurus,nor man nia sauru s </EOW>
nothronychus,no th ron y chu s </EOW>
notoceratops,no to ceratop s </EOW>
notocolossus,no to colos su s </EOW>
notohypsilophodon,no to hyp silopho don </EOW>
nqwebasaurus,n q w e ba sauru s </EOW>
nteregosaurus,n tere go sauru s </EOW>
nurosaurus,n uro sauru s </EOW>
nuthetes,n u the te s </EOW>
nyasasaurus,n ya sa sauru s </EOW>
nyororosaurus,n yororo sauru s </EOW>
ohmdenosaurus,o h m deno sauru s </EOW>
ojoceratops,o j o ceratop s </EOW>
ojoraptorsaurus,o j ora p tor sauru s </EOW>
oligosaurus,o li go sauru s </EOW>
olorotitan,o loro titan </EOW>
omeisaurus,o meisauru s </EOW>
omosaurus,o mo sauru s </EOW>
onychosaurus,on y cho sauru s </EOW>
oohkotokia,o o h ko to kia </EOW>
opisthocoelicaudia,opistho co eli cau dia </EOW>
oplosaurus,oplo sauru s </EOW>
orcomimus,or co mi mu s </EOW>
orinosaurusorkoraptor,orino sauru sor kora p tor </EOW>
ornatotholusornithodesmus,or nato tho lu sornitho de s mu s </EOW>
ornithoides,ornitho i de s </EOW>
ornitholestes,ornitho le ste s </EOW>
ornithomerus,ornitho meru s </EOW>
ornithomimoides,ornitho mi mo i de s </EOW>
ornithomimus,ornitho mi mu s </EOW>
ornithopsis,ornithop sis </EOW>
ornithosuchus,ornitho su chu s </EOW>
ornithotarsus,ornitho tar su s </EOW>
orodromeus,oro dro meu s </EOW>
orosaurus,oro sauru s </EOW>
orthogoniosaurus,or tho goni o sauru s </EOW>
orthomerus,or tho meru s </EOW>
oryctodromeus,or y c to dro meu s </EOW>
oshanosaurus,o shano sauru s </EOW>
osmakasaurus,o s ma ka sauru s </EOW>
ostafrikasaurus,o sta f ri ka sauru s </EOW>
ostromia,o stro mia </EOW>
othnielia,o th ni elia </EOW>
othnielosaurus,o th ni elo sauru s </EOW>
otogosaurus,o to go sauru s </EOW>
ouranosaurus,o urano sauru s </EOW>
overosaurus,o vero sauru s </EOW>
oviraptor,o vi ra p tor </EOW>
ovoraptor,o vora p tor </EOW>
owenodon,o w eno don </EOW>
oxalaia,o xala ia </EOW>
ozraptor,o z ra p tor </EOW>
pachycephalosaurus,pachy ce phalo sauru s </EOW>
pachyrhinosaurus,pachy r hino sauru s </EOW>
pachysauriscus,pachy sauris c u s </EOW>
pachysaurops,pachy saurop s </EOW>
pachysaurus,pachy sauru s </EOW>
pachyspondylus,pachy spondy lu s </EOW>
pachysuchus,pachy su chu s </EOW>
padillasaurus,pa dil la sauru s </EOW>
pakisaurus,pa kisauru s </EOW>
palaeoctonus,palaeo c ton u s </EOW>
palaeocursornis,palaeo cur sornis </EOW>
palaeolimnornis,palaeo lim nornis </EOW>
palaeopteryx,palaeop ter y x </EOW>
palaeosauriscus,palaeo sauris c u s </EOW>
palaeosaurus,palaeo sauru s </EOW>
palaeosaurus,palaeo sauru s </EOW>
palaeoscincus,palaeo s cin c u s </EOW>
paleosaurus,paleo sauru s </EOW>
paludititan,palu di titan </EOW>
paluxysaurus,palu x y sauru s </EOW>
pampadromaeus,pampa dro maeu s </EOW>
pamparaptor,pampara p tor </EOW>
panamericansaurus,panameri can sauru s </EOW>
pandoravenator,pan dora venator </EOW>
panguraptor,pan gura p tor </EOW>
panoplosaurus,panoplo sauru s </EOW>
panphagia,pan phagia </EOW>
pantydraco,pan ty draco </EOW>
paraiguanodon,para i guano don </EOW>
paralititan,parali titan </EOW>
paranthodon,paran tho don </EOW>
pararhabdodon,parar hab do don </EOW>
parasaurolophus,para sauro lophu s </EOW>
pareiasaurus,pareia sauru s </EOW>
parksosaurus,par k so sauru s </EOW>
paronychodon,paron y cho don </EOW>
parrosaurus,par ro sauru s </EOW>
parvicursor,par vi cur sor </EOW>
patagonykus,patagon y ku s </EOW>
patagosaurus,patago sauru s </EOW>
patagotitan,patago titan </EOW>
pawpawsaurus,pa w pa w sauru s </EOW>
pectinodon,pe c tino don </EOW>
pedopenna,pedopen na </EOW>
pegomastax,pe go ma sta x </EOW>
peishansaurus,peishan sauru s </EOW>
pekinosaurus,pe kino sauru s </EOW>
pelecanimimus,pele cani mi mu s </EOW>
pellegrinisaurus,pel le g rinisauru s </EOW>
peloroplites,pelorop li te s </EOW>
pelorosaurus,peloro sauru s </EOW>
peltosaurus,pel to sauru s </EOW>
penelopognathus,penelopo gnathu s </EOW>
pentaceratops,pen ta ceratop s </EOW>
petrobrasaurus,pe tro bra sauru s </EOW>
phaedrolosaurus,phaedro lo sauru s </EOW>
philovenator,philo venator </EOW>
phuwiangosaurus,phu w ian go sauru s </EOW>
phyllodon,phy l lo don </EOW>
piatnitzkysaurus,piat ni t z k y sauru s </EOW>
picrodon,pi cro don </EOW>
pinacosaurus,pina co sauru s </EOW>
pisanosaurus,pisano sauru s </EOW>
pitekunsaurus,pi te kun sauru s </EOW>
piveteausaurus,pi ve te au sauru s </EOW>
planicoxa,p lani co xa </EOW>
plateosauravus,p lateo saura vu s </EOW>
plateosaurus,p lateo sauru s </EOW>
platyceratops,p laty ceratop s </EOW>
plesiohadros,p le si o hadro s </EOW>
pleurocoelus,p leuro co elu s </EOW>
pleuropeltus,p leuropel t u s </EOW>
pneumatoarthrus,p neu mato ar th ru s </EOW>
pneumatoraptor,p neu matora p tor </EOW>
podokesaurus,po do ke sauru s </EOW>
poekilopleuron,po e kilop leuron </EOW>
polacanthoides,po la can tho i de s </EOW>
polacanthus,po la can thu s </EOW>
polyodontosaurus,po lyo don to sauru s </EOW>
polyonax,po lyona x </EOW>
ponerosteus,ponero steu s </EOW>
poposaurus,popo sauru s </EOW>
parasaurolophus,para sauro lophu s </EOW>
postosuchus,po sto su chu s </EOW>
powellvenator,po w el l venator </EOW>
pradhania,p ra d hania </EOW>
prenocephale,p reno cephale </EOW>
prenoceratops,p reno ceratop s </EOW>
priconodon,p ri cono don </EOW>
priodontognathus,p rio don to gnathu s </EOW>
proa,pro a </EOW>
probactrosaurus,pro ba c tro sauru s </EOW>
probrachylophosaurus,pro brachy lopho sauru s </EOW>
proceratops,pro ceratop s </EOW>
proceratosaurus,pro cerato sauru s </EOW>
procerosaurus,pro cero sauru s </EOW>
procerosaurus,pro cero sauru s </EOW>
procheneosaurus,pro cheneo sauru s </EOW>
procompsognathus,pro compso gnathu s </EOW>
prodeinodon,pro deino don </EOW>
proiguanodon,pro i guano don </EOW>
propanoplosaurus,propanoplo sauru s </EOW>
proplanicoxa,prop lani co xa </EOW>
prosaurolophus,pro sauro lophu s </EOW>
protarchaeopteryx,pro tarchaeop ter y x </EOW>
protecovasaurus,pro te co va sauru s </EOW>
protiguanodon,pro ti guano don </EOW>
protoavis,proto a vis </EOW>
protoceratops,proto ceratop s </EOW>
protognathosaurus,proto gnatho sauru s </EOW>
protognathus,proto gnathu s </EOW>
protohadros,proto hadro s </EOW>
protorosaurus,protoro sauru s </EOW>
protorosaurus,protoro sauru s </EOW>
protrachodon,pro tra cho don </EOW>
proyandusaurus,pro yan d u sauru s </EOW>
pseudolagosuchus,p seu do lago su chu s </EOW>
psittacosaurus,p si t ta co sauru s </EOW>
pteropelyx,p teropely x </EOW>
pterospondylus,p tero spondy lu s </EOW>
puertasaurus,pu er ta sauru s </EOW>
pukyongosaurus,pu k yongo sauru s </EOW>
pulanesaura,pu lane saura </EOW>
pycnonemosaurus,py c none mo sauru s </EOW>
pyroraptor,py rora p tor </EOW>
qantassaurus,q an ta s sauru s </EOW>
qianzhousaurus,q ian zho u sauru s </EOW>
qiaowanlong,q ia o wan long </EOW>
qijianglong,q i jiang long </EOW>
qinlingosaurus,q in lin go sauru s </EOW>
qingxiusaurus,q in g xi u sauru s </EOW>
qiupalong,q i u palong </EOW>
quaesitosaurus,qu ae si to sauru s </EOW>
quetecsaurus,qu e te c sauru s </EOW>
quilmesaurus,qu il me sauru s </EOW>
rachitrema,ra chi t re ma </EOW>
rahiolisaurus,ra hi o lisauru s </EOW>
rahona,ra hona </EOW>
rahonavis,ra hona vis </EOW>
rajasaurus,ra ja sauru s </EOW>
rapator,ra pator </EOW>
rapetosaurus,ra pe to sauru s </EOW>
raptorex,ra p tore x </EOW>
ratchasimasaurus,rat cha si ma sauru s </EOW>
rativates,rati vate s </EOW>
rayososaurus,ra yo so sauru s </EOW>
razanandrongobe,ra zanan drongo be </EOW>
rebbachisaurus,re b ba chisauru s </EOW>
regaliceratops,re gali ceratop s </EOW>
regnosaurus,re g no sauru s </EOW>
revueltosaurus,re vu el to sauru s </EOW>
rhabdodon,r hab do don </EOW>
rhadinosaurus,r ha dino sauru s </EOW>
rhinorex,r hinore x </EOW>
rhodanosaurus,r ho dano sauru s </EOW>
rhoetosaurus,r ho e to sauru s </EOW>
rhopalodon,r hopalo don </EOW>
riabininohadros,riabinino hadro s </EOW>
richardoestesia,ri char do e ste sia </EOW>
rileya,rile ya </EOW>
rileyasuchus,rile ya su chu s </EOW>
rinchenia,rin chenia </EOW>
rinconsaurus,rin con sauru s </EOW>
rioarribasaurus,rio ar ri ba sauru s </EOW>
riodevasaurus,rio de va sauru s </EOW>
riojasaurus,rio ja sauru s </EOW>
riojasuchus,rio ja su chu s </EOW>
rocasaurus,ro ca sauru s </EOW>
roccosaurus,ro c co sauru s </EOW>
rubeosaurus,ru beo sauru s </EOW>
ruehleia,ru e h leia </EOW>
rugocaudia,rugo cau dia </EOW>
rugops,rugop s </EOW>
rukwatitan,ru k watitan </EOW>
ruyangosaurus,ru yango sauru s </EOW>
sacisaurus,sa cisauru s </EOW>
sahaliyania,sa hali yania </EOW>
saichania,sa i chania </EOW>
saldamosaurus,sal damo sauru s </EOW>
salimosaurus,salimo sauru s </EOW>
saltasaurus,sal ta sauru s </EOW>
saltopus,sal topu s </EOW>
saltriosaurus,sal trio sauru s </EOW>
sanchusaurus,san chu sauru s </EOW>
sangonghesaurus,san gong he sauru s </EOW>
sanjuansaurus,san juan sauru s </EOW>
sanpasaurus,san pa sauru s </EOW>
santanaraptor,san tanara p tor </EOW>
saraikimasoom,sara i ki ma so o m </EOW>
sarahsaurus,sara h sauru s </EOW>
sarcolestes,sar co le ste s </EOW>
sarcosaurus,sar co sauru s </EOW>
sarmientosaurus,sar mi en to sauru s </EOW>
saturnalia,sat ur nalia </EOW>
sauraechinodon,saurae chino don </EOW>
saurolophus,sauro lophu s </EOW>
sauroniops,sauroni op s </EOW>
sauropelta,sauropelta </EOW>
saurophaganax,saurophagana x </EOW>
saurophagus,saurophagu s </EOW>
sauroplites,saurop li te s </EOW>
sauroposeidon,sauropo sei don </EOW>
saurornithoides,saurornitho i de s </EOW>
saurornitholestes,saurornitho le ste s </EOW>
savannasaurus,sa van na sauru s </EOW>
scansoriopteryx,s can soriop ter y x </EOW>
scaphonyx,s ca phon y x </EOW>
scelidosaurus,s celi do sauru s </EOW>
scipionyx,s ci pi on y x </EOW>
sciurumimus,s ci uru mi mu s </EOW>
scleromochlus,s c lero mo ch lu s </EOW>
scolosaurus,s colosauru s </EOW>
scutellosaurus,s c u tel lo sauru s </EOW>
secernosaurus,se cer no sauru s </EOW>
sefapanosaurus,se f a pano sauru s </EOW>
segisaurus,se gisauru s </EOW>
segnosaurus,se g no sauru s </EOW>
seismosaurus,seis mo sauru s </EOW>
seitaad,sei ta a d </EOW>
selimanosaurus,selimano sauru s </EOW>
sellacoxa,sel la co xa </EOW>
sellosaurus,sel lo sauru s </EOW>
serendipaceratops,seren di pa ceratop s </EOW>
serikornis,seri kornis </EOW>
shamosaurus,shamo sauru s </EOW>
shanag,shanag </EOW>
shanshanosaurus,shan shano sauru s </EOW>
shantungosaurus,shan t un go sauru s </EOW>
shanxia,shan xia </EOW>
shanyangosaurus,shan yango sauru s </EOW>
shaochilong,sha o chilong </EOW>
shenzhousaurus,shen zho u sauru s </EOW>
shidaisaurus,shi da isauru s </EOW>
shingopana,shin gopana </EOW>
shixinggia,shi xing gia </EOW>
shuangbaisaurus,shuan g ba isauru s </EOW>
shuangmiaosaurus,shuan g mia o sauru s </EOW>
shunosaurus,shuno sauru s </EOW>
shuvosaurus,shu vo sauru s </EOW>
shuvuuia,shu vu u ia </EOW>
siamodon,siamo don </EOW>
siamodracon,siamo dracon </EOW>
siamosaurus,siamo sauru s </EOW>
siamotyrannus,siamo tyran n u s </EOW>
siats,siat s </EOW>
sibirosaurus,si bi ro sauru s </EOW>
sibirotitan,si bi ro titan </EOW>
sidormimus,si dor mi mu s </EOW>
sigilmassasaurus,si gil ma s sa sauru s </EOW>
silesaurus,sile sauru s </EOW>
siluosaurus,silu o sauru s </EOW>
silvisaurus,sil visauru s </EOW>
similicaudipteryx,si mili cau di p ter y x </EOW>
sinocalliopteryx,sino cal li op ter y x </EOW>
sinoceratops,sino ceratop s </EOW>
sinocoelurus,sino co eluru s </EOW>
sinopelta,sinopelta </EOW>
sinopeltosaurus,sinopel to sauru s </EOW>
sinornithoides,sinornitho i de s </EOW>
sinornithomimus,sinornitho mi mu s </EOW>
sinornithosaurus,sinornitho sauru s </EOW>
sinosauropteryx,sino saurop ter y x </EOW>
sinosaurus,sino sauru s </EOW>
sinotyrannus,sino tyran n u s </EOW>
sinovenator,sino venator </EOW>
sinraptor,sin ra p tor </EOW>
sinusonasus,sin u sona su s </EOW>
sirindhorna,si rin d hor na </EOW>
skorpiovenator,s kor pi o venator </EOW>
smilodon,s milo don </EOW>
sonidosaurus,soni do sauru s </EOW>
sonorasaurus,sonora sauru s </EOW>
soriatitan,soriatitan </EOW>
sphaerotholus,sphaero tho lu s </EOW>
sphenosaurus,spheno sauru s </EOW>
sphenospondylus,spheno spondy lu s </EOW>
spiclypeus,spi c lypeu s </EOW>
spinophorosaurus,spinophoro sauru s </EOW>
spinops,spinop s </EOW>
spinosaurus,spino sauru s </EOW>
spinostropheus,spino stropheu s </EOW>
spinosuchus,spino su chu s </EOW>
spondylosoma,spondy lo so ma </EOW>
squalodon,s qu alo don </EOW>
staurikosaurus,stauri ko sauru s </EOW>
stegoceras,stego cera s </EOW>
stegopelta,stegopelta </EOW>
stegosaurides,stego sauri de s </EOW>
stegosaurus,stego sauru s </EOW>
stenonychosaurus,stenon y cho sauru s </EOW>
stenopelix,stenopeli x </EOW>
stenotholus,steno tho lu s </EOW>
stephanosaurus,ste phano sauru s </EOW>
stereocephalus,stereo ce phalu s </EOW>
sterrholophus,ster r ho lophu s </EOW>
stokesosaurus,sto ke so sauru s </EOW>
stormbergia,stor m ber gia </EOW>
strenusaurus,st ren u sauru s </EOW>
streptospondylus,st re p to spondy lu s </EOW>
struthiomimus,st ru thi o mi mu s </EOW>
struthiosaurus,st ru thi o sauru s </EOW>
stygimoloch,sty gi mo lo ch </EOW>
stygivenator,sty gi venator </EOW>
styracosaurus,sty ra co sauru s </EOW>
succinodon,su c cino don </EOW>
suchomimus,su cho mi mu s </EOW>
suchosaurus,su cho sauru s </EOW>
suchoprion,su chop rion </EOW>
sugiyamasaurus,sugi yama sauru s </EOW>
skeleton,s kele ton </EOW>
sulaimanisaurus,su la i manisauru s </EOW>
supersaurus,su per sauru s </EOW>
suuwassea,su u wa s se a </EOW>
suzhousaurus,su zho u sauru s </EOW>
symphyrophus,sy mphy rophu s </EOW>
syngonosaurus,sy n gono sauru s </EOW>
syntarsus,sy n tar su s </EOW>
syrmosaurus,sy r mo sauru s </EOW>
szechuanosaurus,sz e chuano sauru s </EOW>
tachiraptor,ta chi ra p tor </EOW>
talarurus,talaruru s </EOW>
talenkauen,talen kau en </EOW>
talos,talo s </EOW>
tambatitanis,tam batitanis </EOW>
tangvayosaurus,tan g va yo sauru s </EOW>
tanius,tani u s </EOW>
tanycolagreus,tan y co lag reu s </EOW>
tanystropheus,tan y stropheu s </EOW>
tanystrosuchus,tan y stro su chu s </EOW>
taohelong,ta o helong </EOW>
tapinocephalus,ta pino ce phalu s </EOW>
tapuiasaurus,ta pu ia sauru s </EOW>
tarascosaurus,tara s co sauru s </EOW>
tarbosaurus,tar bo sauru s </EOW>
tarchia,tar chia </EOW>
tastavinsaurus,ta sta vin sauru s </EOW>
tatankacephalus,tatan ka ce phalu s </EOW>
tatankaceratops,tatan ka ceratop s </EOW>
tataouinea,tata o u ine a </EOW>
tatisaurus,tatisauru s </EOW>
taurovenator,tauro venator </EOW>
taveirosaurus,ta vei ro sauru s </EOW>
tawa,ta wa </EOW>
tawasaurus,ta wa sauru s </EOW>
tazoudasaurus,ta z o u da sauru s </EOW>
technosaurus,te ch no sauru s </EOW>
tecovasaurus,te co va sauru s </EOW>
